Afghanistan,2018,Students enrolled in upper secondary education (thousands),1081
Albania,2020,Students enrolled in upper secondary education (thousands),110
Algeria,2011,Students enrolled in upper secondary education (thousands),1333
Andorra,2020,Students enrolled in upper secondary education (thousands),2
Angola,2016,Students enrolled in upper secondary education (thousands),508
Argentina,2019,Students enrolled in upper secondary education (thousands),1888
Armenia,2020,Students enrolled in upper secondary education (thousands),83
Australia,2019,Students enrolled in upper secondary education (thousands),1185
Austria,2019,Students enrolled in upper secondary education (thousands),350
Azerbaijan,2020,Students enrolled in upper secondary education (thousands),293
Bahamas,2018,Students enrolled in upper secondary education (thousands),13
Bangladesh,2020,Students enrolled in upper secondary education (thousands),7850
Belarus,2018,Students enrolled in upper secondary education (thousands),198
Belgium,2019,Students enrolled in upper secondary education (thousands),758
Belize,2020,Students enrolled in upper secondary education (thousands),10
Benin,2020,Students enrolled in upper secondary education (thousands),239
Bhutan,2018,Students enrolled in upper secondary education (thousands),21
Bolivia (Plurin. State of),2019,Students enrolled in upper secondary education (thousands),781
Bosnia and Herzegovina,2020,Students enrolled in upper secondary education (thousands),113
Botswana,2008,Students enrolled in upper secondary education (thousands),49
Brazil,2019,Students enrolled in upper secondary education (thousands),9077
Brunei Darussalam,2020,Students enrolled in upper secondary education (thousands),28
Bulgaria,2019,Students enrolled in upper secondary education (thousands),282
Burundi,2021,Students enrolled in upper secondary education (thousands),350
Cambodia,2020,Students enrolled in upper secondary education (thousands),334
Cameroon,2020,Students enrolled in upper secondary education (thousands),696
Canada,2019,Students enrolled in upper secondary education (thousands),1407
Central African Republic,2017,Students enrolled in upper secondary education (thousands),30
Chad,2019,Students enrolled in upper secondary education (thousands),176
Chile,2019,Students enrolled in upper secondary education (thousands),1035
China,2020,Students enrolled in upper secondary education (thousands),39960
Colombia,2019,Students enrolled in upper secondary education (thousands),1390
Congo,2012,Students enrolled in upper secondary education (thousands),95
Dem. Rep. of the Congo,2015,Students enrolled in upper secondary education (thousands),2467
Costa Rica,2020,Students enrolled in upper secondary education (thousands),213
Croatia,2019,Students enrolled in upper secondary education (thousands),151
Cuba,2020,Students enrolled in upper secondary education (thousands),416
Cyprus,2019,Students enrolled in upper secondary education (thousands),28
Czechia,2019,Students enrolled in upper secondary education (thousands),391
Denmark,2019,Students enrolled in upper secondary education (thousands),285
Djibouti,2021,Students enrolled in upper secondary education (thousands),22
Dominican Republic,2020,Students enrolled in upper secondary education (thousands),390
Ecuador,2020,Students enrolled in upper secondary education (thousands),893
Egypt,2019,Students enrolled in upper secondary education (thousands),4006
El Salvador,2019,Students enrolled in upper secondary education (thousands),201
Equatorial Guinea,2005,Students enrolled in upper secondary education (thousands),4
Eritrea,2018,Students enrolled in upper secondary education (thousands),86
Estonia,2019,Students enrolled in upper secondary education (thousands),45
Ethiopia,2015,Students enrolled in upper secondary education (thousands),796
Fiji,2012,Students enrolled in upper secondary education (thousands),36
Finland,2019,Students enrolled in upper secondary education (thousands),330
France,2019,Students enrolled in upper secondary education (thousands),2714
Gabon,2002,Students enrolled in upper secondary education (thousands),27
Gambia,2010,Students enrolled in upper secondary education (thousands),49
Georgia,2020,Students enrolled in upper secondary education (thousands),136
Germany,2019,Students enrolled in upper secondary education (thousands),2427
Ghana,2020,Students enrolled in upper secondary education (thousands),1266
Greece,2019,Students enrolled in upper secondary education (thousands),360
Guatemala,2020,Students enrolled in upper secondary education (thousands),414
Guinea,2014,Students enrolled in upper secondary education (thousands),228
Guinea-Bissau,2005,Students enrolled in upper secondary education (thousands),12
Guyana,2012,Students enrolled in upper secondary education (thousands),30
Honduras,2020,Students enrolled in upper secondary education (thousands),228
Hungary,2019,Students enrolled in upper secondary education (thousands),410
Iceland,2019,Students enrolled in upper secondary education (thousands),21
India,2020,Students enrolled in upper secondary education (thousands),69161
Indonesia,2018,Students enrolled in upper secondary education (thousands),11174
Iran (Islamic Republic of),2017,Students enrolled in upper secondary education (thousands),2539
Iraq,2007,Students enrolled in upper secondary education (thousands),731
Ireland,2019,Students enrolled in upper secondary education (thousands),232
Israel,2019,Students enrolled in upper secondary education (thousands),415
Italy,2019,Students enrolled in upper secondary education (thousands),2861
Ivory Coast,2020,Students enrolled in upper secondary education (thousands),617
Jamaica,2020,Students enrolled in upper secondary education (thousands),72
Japan,2019,Students enrolled in upper secondary education (thousands),3566
Jordan,2020,Students enrolled in upper secondary education (thousands),237
Kazakhstan,2020,Students enrolled in upper secondary education (thousands),504
